Block Type	96well																											
Chemistry	SYBR_GREEN																											
Experiment File Name	XXX																											
Experiment Run End Time	XXX																											
Instrument Type	steponeplus																											
Passive Reference	ROX																											
																												
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	HIGHSD
A1	S2	GAPDH	UNKNOWN	SYBR	None				22.681453704834	22.6324977874756	0.043552599847317							0	1	1	3	15	1	82.5529708862305				N
A2	S2	GAPDH	UNKNOWN	SYBR	None				22.6179790496826	22.6324977874756	0.043552599847317							0	1	1	3	15	1	82.4036560058594				N
A3	S2	GAPDH	UNKNOWN	SYBR	None				22.5980567932129	22.6324977874756	0.043552599847317							0	1	1	3	15	1	82.5534362792969				N
																												
																												
																												
																												
																												
																												
D12	S6	Hoxc13	UNKNOWN	SYBR	None	0.164708986878395	0.112355917692184	0.241456359624863	34.6061897277832	34.2801361083984	0.344053238630295		11.0267295837402	0.198758915066719			2.60200881958008	0	1	1	3	26	1	85.3964309692383				N
E1	S9	GAPDH	UNKNOWN	SYBR	None				23.1373271942139	23.1490478515625	0.014255613088608							0	1	1	3	16	1	82.5529708862305				N
E2	S9	GAPDH	UNKNOWN	SYBR	None				23.1448955535889	23.1490478515625	0.014255613088608							0	1	1	3	16	1	82.4036560058594				N
E3	S9	GAPDH	UNKNOWN	SYBR	None				23.1649169921875	23.1490478515625	0.014255613088608							0	1	1	3	16	1	82.5534362792969				N
																												
																												
																												
																												
																												
																												
E10	S9	Hoxc13	UNKNOWN	SYBR	None	0.132604345679283	0.112564541399479	0.156211838126183	34.5769309997559	34.4885673522949	0.146769344806671		11.3395204544067	0.085136093199253			2.91479992866516	0	1	1	3	27	1	85.5405883789063				N
E11	S9	Hoxc13	UNKNOWN	SYBR	None	0.132604345679283	0.112564541399479	0.156211838126183	34.3191452026367	34.4885673522949	0.146769344806671		11.3395204544067	0.085136093199253			2.91479992866516	0	1	1	3	26	1	85.3964309692383				N
E12	S9	Hoxc13	UNKNOWN	SYBR	None	0.132604345679283	0.112564541399479	0.156211838126183	34.5696258544922	34.4885673522949	0.146769344806671		11.3395204544067	0.085136093199253			2.91479992866516	0	1	1	3	26	1	85.3964309692383				N
F1	S15	GAPDH	UNKNOWN	SYBR	None				25.31667137146	25.3239898681641	0.029790194705129							0	1	1	3	18	1	82.5529708862305				N
F2	S15	GAPDH	UNKNOWN	SYBR	None				25.3567581176758	25.3239898681641	0.029790194705129							0	1	1	3	18	1	82.5529708862305				N
F3	S15	GAPDH	UNKNOWN	SYBR	None				25.2985420227051	25.3239898681641	0.029790194705129							0	1	1	3	18	1	82.5534362792969				N
																												
																												
																												
																												
																												
																												
F10	S15	Hoxc13	UNKNOWN	SYBR	None	0.167693495750427	0.127797767519951	0.220043838024139	36.0517539978027	36.3248138427734	0.242700517177582		11.0008220672607	0.141174823045731			2.57610130310059	0	1	1	3	28	1	85.6899185180664				N
F11	S15	Hoxc13	UNKNOWN	SYBR	None	0.167693495750427	0.127797767519951	0.220043838024139	36.5159568786621	36.3248138427734	0.242700517177582		11.0008220672607	0.141174823045731			2.57610130310059	0	1	1	3	28	1	85.545783996582				N
F12	S15	Hoxc13	UNKNOWN	SYBR	None	0.167693495750427	0.127797767519951	0.220043838024139	36.4067268371582	36.3248138427734	0.242700517177582		11.0008220672607	0.141174823045731			2.57610130310059	0	1	1	3	28	1	85.6951446533203				N
G1	S20	GAPDH	UNKNOWN	SYBR	None				23.9166240692139	23.9231033325195	0.0359006524086							0	1	1	3	16	1	82.7022857666016				N
G2	S20	GAPDH	UNKNOWN	SYBR	None				23.9618015289307	23.9231033325195	0.0359006524086							0	1	1	3	16	1	82.5529708862305				N
G3	S20	GAPDH	UNKNOWN	SYBR	None				23.8908824920654	23.9231033325195	0.0359006524086							0	1	1	3	16	1	82.5534362792969				N
																												
																												
																												
																												
																												
																												
G10	S20	Hoxc13	UNKNOWN	SYBR	None	0.876402974128723	0.787109434604645	0.975826442241669	32.6376495361328	32.538158416748	0.089803531765938		8.6150541305542	0.055837653577328			0.190333679318428	0	1	1	3	25	1	85.6899185180664				N
G11	S20	Hoxc13	UNKNOWN	SYBR	None	0.876402974128723	0.787109434604645	0.975826442241669	32.5137214660645	32.538158416748	0.089803531765938		8.6150541305542	0.055837653577328			0.190333679318428	0	1	1	3	24	1	85.545783996582				N
G12	S20	Hoxc13	UNKNOWN	SYBR	None	0.876402974128723	0.787109434604645	0.975826442241669	32.4631004333496	32.538158416748	0.089803531765938		8.6150541305542	0.055837653577328			0.190333679318428	0	1	1	3	24	1	85.545783996582				N
H1	S21	GAPDH	UNKNOWN	SYBR	None				24.205774307251	24.1327800750732	0.063469238579273							0	1	1	3	17	1	82.7022857666016				N
H2	S21	GAPDH	UNKNOWN	SYBR	None				24.1019668579102	24.1327800750732	0.063469238579273							0	1	1	3	17	1	82.7022857666016				N
H3	S21	GAPDH	UNKNOWN	SYBR	None				24.0906009674072	24.1327800750732	0.063469238579273							0	1	1	3	17	1	82.5534362792969				N
																												
																												
																												
																												
																												
																												
H10	S21	Hoxc13	UNKNOWN	SYBR	None	0.740635097026825	0.430588096380234	1.27393281459808	33.0681419372559	32.990665435791	0.483980566263199		8.85788631439209	0.281818807125092			0.433165222406387	0	1	1	3	25	1	85.6899185180664				N
H11	S21	Hoxc13	UNKNOWN	SYBR	None	0.740635097026825	0.430588096380234	1.27393281459808	32.4726219177246	32.990665435791	0.483980566263199		8.85788631439209	0.281818807125092			0.433165222406387	0	1	1	3	24	1	85.545783996582				N
H12	S21	Hoxc13	UNKNOWN	SYBR	None	0.740635097026825	0.430588096380234	1.27393281459808	33.4312362670898	32.990665435791	0.483980566263199		8.85788631439209	0.281818807125092			0.433165222406387	0	1	1	3	25	1	85.545783996582				N
 
